base,depth,text,WC,FRE,TTR,MCD,n_sent,added_words,vocab_monotonic
engineer-plan,3,Headquarters acknowledged that auditors verified that management confirmed that the engineer approved the plan.,14,23.425,0.7857,3.0,1,acknowledged headquarters,True
engineer-plan,4,Shareholders saw that headquarters acknowledged that auditors verified that management confirmed that the engineer approved the plan.,17,25.356,0.7647,4.0,1,saw shareholders,True
writer-manuscript,0,The writer finished the manuscript.,5,49.48,0.8,0.0,1,finished manuscript the writer,True
writer-manuscript,1,The editor reported that the writer finished the manuscript.,9,37.9,0.7778,1.0,1,editor reported that,True
writer-manuscript,2,The agent confirmed that the editor reported that the writer finished the manuscript.,13,43.963,0.6923,2.0,1,agent confirmed,True
writer-manuscript,3,The publisher announced that the agent confirmed that the editor reported that the writer finished the manuscript.,17,40.286,0.6471,3.0,1,announced publisher,True
writer-manuscript,4,Reviewers acknowledged that the publisher announced that the agent confirmed that the editor reported that the writer finished the manuscript.,20,30.025,0.65,4.0,1,acknowledged reviewers,True
team-experiment,0,The team ran the experiment.,5,66.4,0.8,0.0,1,experiment ran team the,True
team-experiment,1,Reviewers said that the team ran the experiment.,8,61.24,0.875,1.0,1,reviewers said that,True
team-experiment,2,Officials confirmed that reviewers said that the team ran the experiment.,11,49.543,0.8182,2.0,1,confirmed officials,True
team-experiment,3,Sponsors recognized that officials confirmed that reviewers said that the team ran the experiment.,14,41.554,0.7857,3.0,1,recognized sponsors,True
team-experiment,4,Critics noted that sponsors recognized that officials confirmed that reviewers said that the team ran the experiment.,17,40.286,0.7647,4.0,1,critics noted,True
court-ruling,0,The court issued the ruling.,5,83.32,0.8,0.0,1,court issued ruling the,True
court-ruling,1,The clerk announced that the court issued the ruling.,9,84.9,0.7778,1.0,1,announced clerk that,True
court-ruling,2,Lawyers explained that the clerk announced that the court issued the ruling.,12,74.805,0.75,2.0,1,explained lawyers,True
court-ruling,3,The press reported that lawyers explained that the clerk announced that the court issued the ruling.,16,68.983,0.6875,3.0,1,press reported,True
court-ruling,4,Citizens understood that the press reported that lawyers explained that the clerk announced that the court issued the ruling.,19,53.971,0.6842,4.0,1,citizens understood,True
artist-painting,0,The artist sold the painting.,5,83.32,0.8,0.0,1,artist painting sold the,True
artist-painting,1,The dealer revealed that the artist sold the painting.,9,75.5,0.7778,1.0,1,dealer revealed that,True
artist-painting,2,Collectors heard that the dealer revealed that the artist sold the painting.,12,67.755,0.75,2.0,1,collectors heard,True
artist-painting,3,Curators noted that collectors heard that the dealer revealed that the artist sold the painting.,15,56.25,0.7333,3.0,1,curators noted,True
artist-painting,4,Historians recorded that curators noted that collectors heard that the dealer revealed that the artist sold the painting.,18,38.165,0.7222,4.0,1,historians recorded,True
farmer-harvest,0,The farmer collected the harvest.,5,49.48,0.8,0.0,1,collected farmer harvest the,True
farmer-harvest,1,Neighbors observed that the farmer collected the harvest.,8,50.665,0.875,1.0,1,neighbors observed that,True
farmer-harvest,2,Reporters noted that neighbors observed that the farmer collected the harvest.,11,41.852,0.8182,2.0,1,noted reporters,True
farmer-harvest,3,Editors agreed that reporters noted that neighbors observed that the farmer collected the harvest.,14,35.511,0.7857,3.0,1,agreed editors,True
farmer-harvest,4,Readers learned that editors agreed that reporters noted that neighbors observed that the farmer collected the harvest.,17,40.286,0.7647,4.0,1,learned readers,True
